	Topic_Num	Keywords	Num_Documents	Perc_Documents
0	0.0	people, support, issue, team, question, circle, update, comment, alert, guess	1802	0.0473
1	1.0	coach, schedule, pay, offer, benefit, reviewi, suit, guide, attention, enjoy	1280	0.0336
2	2.0	loss, weight, journey, gain, companion, management, assist, accuracy, awareness, reviewyou	1472	0.0387
3	3.0	subscription, review, month, trial, refund, charge, cancel, google, developer, order	845	0.0222
4	4.0	weight, number, stay, shape, method, lose, age, losing, encourages, bmi	931	0.0244
5	5.0	change, fitness, habit, lifestyle, convenient, understand, energy, awesome, follow, couple	1314	0.0345
6	6.0	time, start, end, edit, date, forget, frame, duration, adjust, percentage	952	0.025
7	7.0	feature, user, interface, motivation, function, design, navigate, brings, boost, software	1422	0.0373
8	8.0	work, time, thought, night, load, effect, basis, cycle, device, explanation	1234	0.0324
9	9.0	track, calorie, tool, helpful, easy, super, maintain, husband, combination, complain	890	0.0234
10	10.0	body, feel, part, stage, difference, motivates, state, focus, confidence, measure	1309	0.0344
11	11.0	eat, food, choice, healthier, make, junk, living, making, remembers, vegetable	1022	0.0268
12	12.0	goal, tracker, control, target, reach, portion, tracking, addition, size, meet	1248	0.0328
13	13.0	intermittent, weight, developer, hope, recommend, system, amazing, good, approach, solution	890	0.0234
14	14.0	love, tip, lot, advice, community, article, wait, mind, knowledge, decision	850	0.0223
15	15.0	week, pound, lb, half, drop, power, july, stone, lol, finger	1345	0.0353
16	16.0	track, progress, measurement, chart, picture, weight, quote, cool, stats, regimen	746	0.0196
17	17.0	application, step, effort, fitness, trainer, direction, quality, chance, partner, reading	1248	0.0328
18	18.0	star, health, reason, fit, perfect, rate, rating, vote, enjoy, hand	964	0.0253
19	19.0	plan, diet, idea, list, variety, expectation, choose, calculator, case, grocery	887	0.0233
20	20.0	calorie, count, carbs, counter, fat, protein, ate, counting, calculate, burn	877	0.023
21	21.0	thing, phone, window, eating, clock, stop, alarm, continue, reviewi, motivating	733	0.0192
22	22.0	account, problem, email, access, log, sign, error, password, message, button	784	0.0206
23	23.0	reminder, notification, time, challenge, person, kind, push, reminds, setting, word	797	0.0209
24	24.0	time, friend, bit, family, recommend, break, complaint, rest, game, fasters	605	0.0159
25	25.0	meal, recipe, suggestion, log, recommendation, find, search, snack, planning, input	797	0.0209
26	26.0	exercise, practice, minute, muscle, level, training, video, instruction, area, difficulty	895	0.0235
27	27.0	option, type, set, section, variety, custom, improvement, menu, guidance, ability	621	0.0163
28	28.0	love, simple, job, record, figure, simplicity, design, eye, content, ease	649	0.017
29	29.0	month, program, beginner, today, sugar, keto, term, blood, woman, sort	692	0.0182
30	30.0	apps, experience, download, ad, fun, watch, apple, success, pop, world	760	0.02
31	31.0	fast, data, show, fact, point, ability, history, note, view, graph	694	0.0182
32	32.0	hour, version, fasting, ketosis, fast, customize, mood, moment, excellent, flexibility	633	0.0166
33	33.0	money, refund, service, waste, customer, company, purchase, scam, response, policy	944	0.0248
34	34.0	fasting, result, period, monitor, glad, remind, stick, manage, carb, pattern	632	0.0166
35	35.0	food, database, nutrition, list, item, recipe, nutrient, add, macro, consumption	915	0.024
36	36.0	day, programme, craving, quit, stomach, joker, brain, guidance, rep, september	632	0.0166
37	37.0	information, info, group, process, article, enter, detail, place, guy, ton	548	0.0144
38	38.0	workout, home, routine, widget, level, gym, screen, morning, convenient, equipment	923	0.0242
39	39.0	year, timer, price, payment, check, worth, product, cost, card, purchase	521	0.0137
40	40.0	track, water, intake, food, amount, activity, drink, journal, supplement, tea	780	0.0205
